,TimeBeginning,TimeEnding,Region,Energy,Total_Emissions,Energy_SO,SETTLEMENTDATE,METEREDMWFLOW,New_Energy,New_Emissions,New_Intensity_Index
0,2022-01-01 00:00:00,2022-01-01 01:00:00,SA1,1129.832,395.626,1101.376,2022-01-01 00:00:00,531.9833333333333,531.9833333333333,456.56528715230485,0.52174146237201
1,2022-01-01 01:00:00,2022-01-01 02:00:00,SA1,1206.319,468.199,1173.279,2022-01-01 01:00:00,402.6716666666667,402.6716666666667,363.944137727753,0.5280261338940515
2,2022-01-01 02:00:00,2022-01-01 03:00:00,SA1,884.559,370.417,859.944,2022-01-01 02:00:00,596.9383333333334,596.9383333333334,526.4829793897793,0.6156296626493372
3,2022-01-01 03:00:00,2022-01-01 04:00:00,SA1,680.256,294.142,659.072,2022-01-01 03:00:00,766.3241666666667,766.3241666666667,659.4089584790489,0.6689725851508058
4,2022-01-01 04:00:00,2022-01-01 05:00:00,SA1,640.97,257.54,621.967,2022-01-01 04:00:00,790.6033333333332,790.6033333333332,668.6020100821909,0.6556431125781284
5,2022-01-01 05:00:00,2022-01-01 06:00:00,SA1,608.048,269.235,588.429,2022-01-01 05:00:00,780.3225,780.3225,659.8375220072553,0.6787737014405137
6,2022-01-01 06:00:00,2022-01-01 07:00:00,SA1,611.422,225.535,594.01,2022-01-01 06:00:00,738.7891666666667,738.7891666666667,625.2107015330062,0.6383150010970691
7,2022-01-01 07:00:00,2022-01-01 08:00:00,SA1,647.819,204.794,630.974,2022-01-01 07:00:00,539.7866666666666,539.7866666666666,490.22157816726633,0.593644455229335
8,2022-01-01 08:00:00,2022-01-01 09:00:00,SA1,647.637,191.511,631.172,2022-01-01 08:00:00,453.50333333333333,453.50333333333333,403.1726968784522,0.5482596299585057
9,2022-01-01 09:00:00,2022-01-01 10:00:00,SA1,688.374,190.271,671.59,2022-01-01 09:00:00,447.0183333333333,447.0183333333333,402.9904435527378,0.5303567172478342
10,2022-01-01 10:00:00,2022-01-01 11:00:00,SA1,820.483,200.672,802.1,2022-01-01 10:00:00,408.4425,408.4425,374.2439534418685,0.474924220704245
11,2022-01-01 11:00:00,2022-01-01 12:00:00,SA1,1037.095,202.481,1019.997,2022-01-01 11:00:00,306.7683333333333,306.7683333333333,285.83745862542753,0.3680518674682191
