country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,ninja,Kevan,10,-24.08,151.28,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2021,1,1,0,0,13,-163,48.4,9.3,0,0,0,0,0,1001.6,49.1,8.685,114,,
2021,1,1,1,0,13.1,-149,69.2,9.6,0,0,0,0,0,1001.2,48.3,8.291,109,,
2021,1,1,2,0,13.2,-136,80.9,10,0,0,0,0,0,1000.7,49.1,7.981,102,,
2021,1,1,3,0,13.4,-125,79.4,10.5,0,0,0,0,0,1000.8,48.2,7.865,94,,
2021,1,1,4,0,13.6,-116,86.8,11.1,6,0,0,0,0,1001.2,59.8,7.727,84,,
2021,1,1,5,0,13.8,-107,88.2,11.8,29,48,0,18,0,1001.7,97,7.838,73,,
2021,1,1,6,0,14.2,-98,82.3,12.5,78,111,0,120.7244171,0,1002.3,99.1,8.463,62,,
2021,1,1,7,0,14.8,-88,90.4,13.2,52,209,0,283.4331576,0,1003,99.9,8.77,51,,
2021,1,1,8,0,15.4,-76,88.5,13.9,95,290,0,464.0402552,0,1003.7,83.3,8.786,40,,
2021,1,1,9,0,15.9,-60,80.8,13.5,179,474,0,689.7515297,0,1004,74.4,,30,,
2021,1,1,10,0,16.4,-33,59.9,12.3,405,544,7,838.6302351,0,1004.1,54.1,8.692,21,,
2021,1,1,11,0,16.9,6,25.9,10.9,426,703,353,992.0285265,0,1004.2,49.8,8.982,19,,
2021,1,1,12,0,17.1,42,5.9,9.7,228,729,734,1023.858742,0,1004.4,59.2,9.503,23,,
2021,1,1,13,0,17.2,65,7.9,8.6,236,710,628,972.2813542,0,1004.7,65.5,9.861,32,,
2021,1,1,14,0,17.2,80,4.1,7.6,155,570,606,797.8204002,0,1005,64,9.962,43,,
2021,1,1,15,0,16.9,91,0,7,74,377,544,554.4084527,0,1005.3,68.8,10.013,54,,
2021,1,1,16,0,16.3,100,0.2,6.8,65,173,349,290.3393202,0,1005.7,72.6,10.091,66,,
2021,1,1,17,0,15.6,109,12.4,6.7,75,76,117,114.216595,0,1006.1,76.2,10.112,77,,
2021,1,1,18,0,14.7,118,6.9,6.7,30,24,10,14.71149654,0,1006.5,80.9,9.949,87,,
